Neighborhood,Latitude_Centroid,Longitude_Centroid
010201,46.93109047619048,-122.27327095238095
010202,46.962443939393935,-122.25641424242424
010203,46.89957515151515,-122.27597878787878
010205,46.9484275,-122.26663708333334
010208,46.88834333333333,-122.36424
010505,46.89525538461538,-122.46751615384615
010601,46.93470012569832,-122.50229525139665
010602,46.85158514925373,-122.30862985074627
010603,46.86738587719298,-122.26944131578948
010604,46.938789444444446,-122.34882676900585
010605,46.91039714285714,-122.27545136363636
010607,46.758771967213114,-122.07388901639344
010608,46.7502587,-121.9846899
010609,47.02651287569573,-122.27355185528756
010610,47.0215475,-122.23808251760563
010611,47.04595388235294,-122.21471929411764
010612,47.02390366710013,-122.3397355396619
010613,46.98028859913793,-122.48814961206897
020108,47.18624769765422,-122.1303877237185
020205,47.149687311320754,-122.08235108490565
020210,47.15414694464945,-122.12878349077491
020305,47.16092233386076,-122.02195253955696
020401,47.10669452380952,-122.0463680952381
020411,47.121436496815285,-122.0773457537155
020412,47.1383206,-122.0960532
020506,46.929518,-121.46915
020507,47.115232322580646,-121.61085929032258
020601,47.079981875,-122.052359375
020603,47.090129166666664,-122.05965388888889
020604,47.00111,-121.990185
030203,47.201458947990545,-122.22969167257683
030306,47.18481498894621,-122.17315652910833
030307,47.20395061728395,-122.1980720164609
030402,47.20350981438515,-122.17179296983758
030411,47.20253302325581,-122.15559976744186
030412,47.202667647058824,-122.15583970588236
030414,47.21617535714286,-122.18187392857143
030415,47.19600105263158,-122.15490684210526
030501,47.22994100591716,-122.15861615384615
030502,47.21797615384615,-122.15399538461538
030503,47.24328586065574,-122.15532481557376
030504,47.23837786817714,-122.20263791967044
030512,47.22993329268293,-122.16119646341464
030513,47.23564242424242,-122.18646646464646
030514,47.2239368,-122.1489096
030515,47.250444171747965,-122.21137876524391
040101,47.23993117056856,-122.27777299331103
040202,47.22929385404789,-122.31216454960091
040301,47.20919933962264,-122.2766288490566
040401,47.25031633762518,-122.34723935622317
040402,47.24914046728972,-122.307033605919
040501,47.22266283157038,-122.34656135882831
042602,47.2783261,-122.36525343333334
042606,47.28864317658349,-122.38146398272553
042608,47.27484282208589,-122.372384601227
042701,47.29359840604027,-122.39523348993289
042702,47.30487357961783,-122.41072289171974
042703,47.303457205479454,-122.41798457534246
042704,47.307682061068704,-122.43422251908397
042705,47.29544,-122.41601
042706,47.310690689655175,-122.43195758620689
050103,47.11681262068966,-122.23142648275862
050104,47.10831813464235,-122.22271532258064
050105,47.09346605514316,-122.20437909862142
050106,47.07536560509554,-122.24172885350319
050511,47.16193234399581,-122.18532395909806
050512,47.162066854083,-122.2269756626506
050513,47.08394734177215,-122.14489939873418
050514,47.07037585443038,-122.17235829113925
050701,47.14345441860465,-122.14639412575366
050703,47.14869902827763,-122.17162676606684
050705,47.1046480952381,-122.17565952380953
050706,47.12756686781609,-122.17906647126436
060501,47.089901313451776,-122.41250637690355
060502,47.07603826986366,-122.40926695345557
060503,47.06032578488372,-122.36800364341086
060504,47.07228746681416,-122.35742476769911
060505,47.09070652747253,-122.38973861538462
060801,47.03925966947505,-122.36510471160078
060802,47.02517171821306,-122.36663405498282
070402,47.10859575077882,-122.33107593146417
070703,47.075721305361306,-122.30308623543124
070704,47.07499654557916,-122.32377080191912
070705,47.06025885057471,-122.31300055172414
070706,47.08990147446458,-122.32846371499177
071001,47.07179640883978,-122.28225799723756
071101,47.14751365331492,-122.32445929558011
071304,47.12876336734694,-122.33615369387755
071305,47.12419140008861,-122.31299603898981
081001,47.16291809278351,-122.26677441237113
081002,47.17510390082644,-122.24629173553718
081003,47.16559728929385,-122.26643945330297
081203,47.14566633908477,-122.27268177794448
081204,47.14281728571429,-122.25504079761905
081301,47.08794040260509,-122.30520052693902
081306,47.10397706043956,-122.30745577838827
081402,47.1335624743083,-122.27885606324111
081403,47.12088513907285,-122.27261867549669
081404,47.10686544226044,-122.26814534398035
081408,47.099518916236605,-122.2580958396189
081410,47.086315342544616,-122.2816339896373
090501,47.20542423076923,-122.33447086538462
090601,47.190775530973454,-122.31124359390364
090602,47.16754723333333,-122.31969857777777
090603,47.202682961165046,-122.3327740776699
090901,47.179601715447156,-122.27346055284553
091501,47.20050597997139,-122.37264464949928
091505,47.222428532608696,-122.37152744565218
091506,47.17344439330544,-122.39471280334728
091507,47.17231736636245,-122.35676452411995
091509,47.17674137142857,-122.34377388571428
091512,47.139956741935485,-122.38600096774194
100101,47.15888967741935,-122.70509741935484
100103,47.162130340909094,-122.69221224431818
100201,47.161146,-122.6322
100401,47.382954683908046,-122.72808172413794
100402,47.35830027027027,-122.73504918918918
100404,47.369370280612245,-122.71521028061224
100801,47.262851162790696,-122.83566011627907
100802,47.27559357142857,-122.76594892857143
100806,47.293569475308644,-122.7746687345679
100901,47.238047003367,-122.79688451178451
100903,47.18200075471698,-122.77255132075472
100904,47.173003333333334,-122.75755066666667
100905,47.198123548387095,-122.77068021505376
100908,47.23855125786164,-122.78256729559749
101,47.226017507788164,-122.54554514018692
101001,47.34331584615385,-122.76868923076923
101002,47.381314162436546,-122.76697192893401
101105,47.26491814814815,-122.83534166666666
101106,47.23241751552795,-122.76089621118012
101113,47.33963277777778,-122.75664666666667
101114,47.16381972222222,-122.69867277777777
101201,47.245825454545454,-122.75907636363637
101202,47.237875555555554,-122.79676388888889
101203,47.28643833333334,-122.77413333333334
101204,47.22001083333333,-122.79814166666667
101205,47.40022,-122.76304
101211,47.35819228571429,-122.73401485714285
101212,47.38322,-122.72836275
101213,47.161693529411764,-122.68697823529412
102,47.191735962264154,-122.54488543396226
103,47.165791481481484,-122.47966703703703
104,47.14786486842105,-122.51377921052631
105,47.1723550273224,-122.51499710382514
106,47.10685592039801,-122.63946810945274
110101,47.37375627659574,-122.60389356382979
110102,47.32506256838906,-122.58317910334347
110103,47.3614267065073,-122.59340788844622
110104,47.35436350710901,-122.57371407582939
110105,47.38911677884615,-122.60595118589744
110106,47.35862377637131,-122.5993285443038
110107,47.370615655339805,-122.55472575242719
110108,47.395876180555554,-122.57200645833333
110201,47.39063390625,-122.66075296875
110202,47.379486785714285,-122.681295
110203,47.38045712328767,-122.66689226027397
110207,47.38339105263158,-122.66476456766917
111120,47.334026,-122.5781765
111121,47.36159,-122.55391605263158
111122,47.394165384615384,-122.63299038461538
111123,47.371674666666664,-122.66424066666667
111210,47.39204,-122.56695666666667
120501,47.243276113360324,-122.62175765182187
120603,47.289401152291106,-122.57198289757413
120604,47.256751333333334,-122.585448
120605,47.33421167420814,-122.60904184012067
120701,47.329174745762714,-122.66904084745762
120702,47.33836689274448,-122.63088807570978
120703,47.295968907242695,-122.62195085133418
120704,47.310834790076335,-122.65267116412214
121130,47.353070606060605,-122.6436503030303
121131,47.25397803030303,-122.62858696969697
121132,47.259356,-122.592952
121133,47.28405564102564,-122.60552358974358
121134,47.28612533333333,-122.564188
121135,47.305370208333336,-122.6736475
121136,47.27987,-122.6444775
121137,47.32941866666667,-122.67045066666667
121220,47.30371777777778,-122.60696111111112
121221,47.32034181818182,-122.65141818181817
130301,47.08762346153846,-122.68235615384616
130302,47.0974837037037,-122.63151462962963
130304,47.09759895572264,-122.65932761904762
130305,47.12810420895522,-122.54047564179105
130401,47.167164652567976,-122.60312927492447
130502,47.147674214975844,-122.55949263285024
130503,47.159142793572315,-122.56303972805934
130506,47.18477784172662,-122.50355183453237
130602,47.16887282485876,-122.59728242937854
130604,47.171451399317405,-122.54857237201365
130701,47.18907169406719,-122.55385421729807
130802,47.164981879382886,-122.58302238429172
130803,47.15039676767677,-122.53443494949495
130804,47.15575978142076,-122.54312524590163
130901,47.12804694915254,-122.55265457627118
130902,47.17231244360902,-122.58438804511279
131402,47.17993918158568,-122.52388040920717
131701,47.1866312962963,-122.51293611111112
131708,47.188776255144035,-122.52583407407407
131801,47.128347500000004,-122.56397
131802,47.12643846153846,-122.55838769230769
131803,47.13572666666667,-122.53856999999999
131804,47.140816666666666,-122.55241666666667
131805,47.14643,-122.5285825
131806,47.16774816901408,-122.53545507042253
131807,47.16218,-122.5679661111111
140102,47.14507497109827,-122.4470817398844
140103,47.113372617354194,-122.4514366002845
140201,47.126373913621265,-122.41256360797342
140202,47.10801667454689,-122.38487663514579
140203,47.10681076388889,-122.41488606303419
140204,47.14979263380282,-122.4238669859155
141001,47.153397837837836,-122.52507648648648
141102,47.15193650684932,-122.51358102739727
141104,47.14592969924812,-122.51995571428571
141201,47.17094807610994,-122.5244210359408
141202,47.160945204081635,-122.52444295918367
141302,47.15862696296296,-122.5112825925926
141501,47.16305098591549,-122.50056066901408
141504,47.17354624074074,-122.47949225925926
141808,47.106559600000004,-122.4480752
150101,47.2179328807947,-122.51617168874172
150102,47.21879717791411,-122.50688871165644
150201,47.2776134375,-122.52959122767857
150203,47.29563,-122.53039
150204,47.26500907246377,-122.53053507246376
150304,47.20694276521739,-122.5351396
150305,47.20030193548387,-122.54788369727048
150308,47.20768127272727,-122.55319496969697
150501,47.21511045889101,-122.53927393881453
150502,47.21289238471673,-122.55963126482213
150701,47.22789566937119,-122.54082523326572
150802,47.25327523809524,-122.53052047619047
150804,47.24931886762361,-122.54229867623604
150806,47.24708337278106,-122.51502899408284
150911,47.23776176470588,-122.5618305882353
151001,47.23920234096692,-122.54334529262087
151101,47.23182684529828,-122.51475010111224
151302,47.22457321266968,-122.56326570135747
151802,47.20650251808973,-122.52083070911722
151804,47.20870432343234,-122.50914485148515
160101,47.29412033280507,-122.51495339144215
160301,47.273412576271184,-122.50962666666666
160302,47.27260474193548,-122.52091543548387
160401,47.27988596566524,-122.48407828326181
160402,47.282794561403506,-122.49974639376218
160602,47.26365255511022,-122.49601951903807
160701,47.271105864661656,-122.46856473684211
160702,47.26334842237062,-122.47288687813021
160703,47.26811357615894,-122.45950450331127
170901,47.24979458860759,-122.49499993670887
171001,47.24432225270758,-122.45279180505415
171201,47.218440295238096,-122.48437130476191
171401,47.217825053560176,-122.45213151858853
171901,47.19784167070218,-122.49803283292978
172001,47.19620481140755,-122.4753058325667
172101,47.19443934281843,-122.45017975609755
172501,47.249314301075266,-122.4718523655914
180101,47.18069689368771,-122.40997129568106
180102,47.16312008948546,-122.40999973154362
181501,47.217140858951176,-122.43421451175406
181601,47.2196098822837,-122.41753676868747
181701,47.225763481152995,-122.40315455654103
182201,47.19381049157303,-122.43249134831461
182301,47.19915369383092,-122.41024038842346
182401,47.17527817508417,-122.44308581144782
182402,47.164181753653445,-122.44473823590815
201,47.226117424242425,-122.4307687121212
202,47.20402624161074,-122.4399155033557
203,47.20817136363636,-122.46914015151515
204,47.20713656716418,-122.48328656716419
205,47.22227,-122.47918038461539
206,47.2237593442623,-122.49732868852459
301,47.33153107142857,-122.58426785714286
303,47.31660661654136,-122.57945255639098
305,47.29658,-122.61566755102041
401,47.286331492537315,-122.51030832089552
402,47.23520238636364,-122.45527909090909
403,47.2631736400818,-122.5259535787321
404,47.264240945273635,-122.4719563681592
405,47.264509362745095,-122.45189519607842
406,47.246454630872485,-122.47284932885906
501,47.222328305084744,-122.28831762711864
502,47.19360097222222,-122.28767958333333
503,47.186510897435895,-122.29033006410256
504,47.236628,-122.246391
505,47.20302673076923,-122.23458961538462
506,47.246340988235296,-122.21224856470589
602,46.88240181818182,-122.30484931818182
604,47.098892,-122.2214656
606,47.15335108695652,-122.03255326086956
701,47.26046507142857,-122.44431610714285
702,47.2549545323741,-122.44010179856114
703,47.24700476190476,-122.443862
704,47.2393864,-122.438534
705,47.2476977486911,-122.4342529842932
801,47.25024,-122.424342
802,47.257729999999995,-122.40729666666667
803,47.28304896551724,-122.40589482758621
804,47.24418333333333,-122.365445
805,47.23715826923077,-122.34131057692308
806,47.29272115384615,-122.38887102564102
8F1,47.094229999999996,-122.35255000000001
901,47.17771766990291,-122.39925805825243
902,47.157058596491225,-122.4157852631579
903,47.12305405063291,-122.4329017721519
904,47.14152887218045,-122.29600033834586
905,47.095292919463084,-122.28889463087249
906,47.10163163934426,-122.38249590163934
